run_count,model,vector_dimension,total_vectors,ef_construction,M,index_time,memory_used,num_queries_percent,K,query_time,recall_at_k
3,nmslib_hnsw,100,50000,50,8,0.18721318244934082,1.6875,10,10,0.10360479354858398,0.45098
1,nmslib_hnsw,100,50000,50,12,0.25945234298706055,3.375,10,10,0.12829089164733887,0.60714
2,nmslib_hnsw,100,50000,50,12,0.26018619537353516,0.0,10,10,0.12748265266418457,0.60756
3,nmslib_hnsw,100,50000,50,12,0.26743602752685547,0.0,10,10,0.12683391571044922,0.60884
1,nmslib_hnsw,100,50000,50,16,0.3421058654785156,26.4375,10,10,0.16051769256591797,0.70638
2,nmslib_hnsw,100,50000,50,16,0.3339400291442871,10.6875,10,10,0.16390085220336914,0.70402
3,nmslib_hnsw,100,50000,50,16,0.36867809295654297,-0.5625,10,10,0.15250778198242188,0.70048
1,nmslib_hnsw,100,50000,50,32,0.5320584774017334,33.1875,10,10,0.2619292736053467,0.8471
2,nmslib_hnsw,100,50000,50,32,0.5531237125396729,33.75,10,10,0.2640652656555176,0.84386
3,nmslib_hnsw,100,50000,50,32,0.5530998706817627,33.1875,10,10,0.25950074195861816,0.84534
1,nmslib_hnsw,100,50000,100,8,0.26824045181274414,-0.5625,10,10,0.10140800476074219,0.5253
2,nmslib_hnsw,100,50000,100,8,0.2605772018432617,-0.5625,10,10,0.10144448280334473,0.52866
3,nmslib_hnsw,100,50000,100,8,0.3242526054382324,-0.5625,10,10,0.10601568222045898,0.52964
1,nmslib_hnsw,100,50000,100,12,0.3652780055999756,-0.5625,10,10,0.13630247116088867,0.69196
2,nmslib_hnsw,100,50000,100,12,0.3670980930328369,0.0,10,10,0.1343982219696045,0.69352
3,nmslib_hnsw,100,50000,100,12,0.3622317314147949,0.5625,10,10,0.136305570602417,0.69392
1,nmslib_hnsw,100,50000,100,16,0.4855797290802002,-0.5625,10,10,0.17178869247436523,0.78994
2,nmslib_hnsw,100,50000,100,16,0.4847605228424072,-0.5625,10,10,0.16889071464538574,0.7921
3,nmslib_hnsw,100,50000,100,16,0.475541353225708,0.0,10,10,0.1661372184753418,0.79428
1,nmslib_hnsw,100,50000,100,32,0.875441312789917,32.625,10,10,0.29498720169067383,0.92796
2,nmslib_hnsw,100,50000,100,32,0.8913311958312988,32.0625,10,10,0.2939479351043701,0.92758
3,nmslib_hnsw,100,50000,100,32,0.8785653114318848,32.0625,10,10,0.29237842559814453,0.92786
1,nmslib_hnsw,100,50000,150,8,0.37276196479797363,-0.5625,10,10,0.10381698608398438,0.56698
2,nmslib_hnsw,100,50000,150,8,0.3563075065612793,-0.5625,10,10,0.10098123550415039,0.56746
3,nmslib_hnsw,100,50000,150,8,0.4065744876861572,0.0,10,10,0.1026604175567627,0.56586
1,nmslib_hnsw,100,50000,150,12,0.46047449111938477,0.0,10,10,0.13826847076416016,0.7387
2,nmslib_hnsw,100,50000,150,12,0.4570353031158447,-0.5625,10,10,0.13785576820373535,0.73618
3,nmslib_hnsw,100,50000,150,12,0.45795226097106934,-0.5625,10,10,0.13552594184875488,0.73592
1,nmslib_hnsw,100,50000,150,16,0.6935312747955322,1.125,10,10,0.1714916229248047,0.8297
2,nmslib_hnsw,100,50000,150,16,0.5887939929962158,0.5625,10,10,0.19095444679260254,0.8286
3,nmslib_hnsw,100,50000,150,16,0.5960133075714111,0.5625,10,10,0.19014978408813477,0.8295
1,nmslib_hnsw,100,50000,150,32,1.095001220703125,32.0625,10,10,0.3055572509765625,0.94858
2,nmslib_hnsw,100,50000,150,32,1.1139037609100342,32.0625,10,10,0.2971000671386719,0.94852
3,nmslib_hnsw,100,50000,150,32,1.0984039306640625,32.625,10,10,0.32413721084594727,0.9485
1,nmslib_hnsw,100,50000,300,8,0.5498805046081543,-0.5625,10,10,0.10325407981872559,0.6307
2,nmslib_hnsw,100,50000,300,8,0.5848598480224609,-0.5625,10,10,0.11435246467590332,0.63594
3,nmslib_hnsw,100,50000,300,8,0.5559101104736328,0.0,10,10,0.10096120834350586,0.62996
1,nmslib_hnsw,100,50000,300,12,0.7344274520874023,0.5625,10,10,0.13841629028320312,0.79242
2,nmslib_hnsw,100,50000,300,12,0.7508926391601562,0.0,10,10,0.1417546272277832,0.78992
3,nmslib_hnsw,100,50000,300,12,0.7522780895233154,1.125,10,10,0.14170479774475098,0.79268
1,nmslib_hnsw,100,50000,300,16,0.9156310558319092,0.0,10,10,0.17008543014526367,0.871
2,nmslib_hnsw,100,50000,300,16,0.9255027770996094,-0.5625,10,10,0.18044042587280273,0.87246
3,nmslib_hnsw,100,50000,300,16,0.916297435760498,1.125,10,10,0.17403030395507812,0.87044
1,nmslib_hnsw,100,50000,300,32,1.6512532234191895,32.0625,10,10,0.299480676651001,0.96406
2,nmslib_hnsw,100,50000,300,32,1.634338140487671,32.625,10,10,0.2955470085144043,0.96524
3,nmslib_hnsw,100,50000,300,32,1.6266474723815918,32.625,10,10,0.30278873443603516,0.96428
1,nmslib_hnsw,100,100000,50,8,0.4192039966583252,45.0,10,10,0.25020861625671387,0.33897
2,nmslib_hnsw,100,100000,50,8,0.4320790767669678,45.0,10,10,0.2511134147644043,0.33633
3,nmslib_hnsw,100,100000,50,8,0.43262171745300293,46.6875,10,10,0.25936150550842285,0.33886
1,nmslib_hnsw,100,100000,50,12,0.5991747379302979,48.375,10,10,0.3661823272705078,0.48561
2,nmslib_hnsw,100,100000,50,12,0.5784273147583008,48.9375,10,10,0.34944653511047363,0.48376
3,nmslib_hnsw,100,100000,50,12,0.6142241954803467,50.05859375,10,10,0.3692357540130615,0.48689
1,nmslib_hnsw,100,100000,50,16,0.7705843448638916,51.75,10,10,0.47245264053344727,0.58768
2,nmslib_hnsw,100,100000,50,16,0.8450930118560791,52.3125,10,10,0.4438009262084961,0.58522
3,nmslib_hnsw,100,100000,50,16,0.7842860221862793,51.1875,10,10,0.5434277057647705,0.58729
1,nmslib_hnsw,100,100000,50,32,1.405104398727417,70.875,10,10,0.792891263961792,0.75654
2,nmslib_hnsw,100,100000,50,32,1.3564822673797607,65.25,10,10,0.7837812900543213,0.75331
3,nmslib_hnsw,100,100000,50,32,1.3236870765686035,65.25,10,10,0.7417187690734863,0.75543
1,nmslib_hnsw,100,100000,100,8,0.6130180358886719,45.0,10,10,0.2627248764038086,0.40282
2,nmslib_hnsw,100,100000,100,8,0.6865441799163818,46.6875,10,10,0.2788834571838379,0.40239
3,nmslib_hnsw,100,100000,100,8,0.6178698539733887,46.125,10,10,0.26068973541259766,0.40074
1,nmslib_hnsw,100,100000,100,12,0.8605146408081055,48.375,10,10,0.34725046157836914,0.57013
2,nmslib_hnsw,100,100000,100,12,0.8653128147125244,49.5,10,10,0.36154961585998535,0.57282
3,nmslib_hnsw,100,100000,100,12,0.860931396484375,48.375,10,10,0.3580646514892578,0.57511
1,nmslib_hnsw,100,100000,100,16,1.1461946964263916,51.75,10,10,0.4356560707092285,0.68406
2,nmslib_hnsw,100,100000,100,16,1.1601619720458984,51.75,10,10,0.4543647766113281,0.67927
3,nmslib_hnsw,100,100000,100,16,1.1651177406311035,51.1875,10,10,0.45557665824890137,0.68385
1,nmslib_hnsw,100,100000,100,32,2.3139164447784424,65.8125,10,10,0.8310942649841309,0.86664
2,nmslib_hnsw,100,100000,100,32,2.3415372371673584,63.5625,10,10,0.8034939765930176,0.8651
3,nmslib_hnsw,100,100000,100,32,2.2908804416656494,64.6875,10,10,0.7923483848571777,0.8654
1,nmslib_hnsw,100,100000,150,8,0.7889823913574219,45.5625,10,10,0.2611410617828369,0.44577
2,nmslib_hnsw,100,100000,150,8,0.7815446853637695,45.0,10,10,0.26557135581970215,0.44526
3,nmslib_hnsw,100,100000,150,8,0.8424215316772461,46.12109375,10,10,0.27947235107421875,0.44332
